Location (from NCBI, GRCh38 (hg38))	Cyto Location	Gene	Dosage Data	Gene Name	Gene MIM#	Phenotype	Inheritance	Phenotype MIM#	Chromosome	Start	End
chr2:178,525,989-178,807,423	2q31.2	TTN	Yes	titin	188840	Tibial muscular dystrophy, tardive	Autosomal dominant	600334	chr2	178525989	178807423
chr2:181,668,295-181,680,517	2q31.3	NEUROD1	Yes	neuronal differentiation 1	601724	{Type 2 diabetes mellitus, susceptibility to}	Autosomal dominant	125853	chr2	181668295	181680517
chr2:181,668,295-181,680,517	2q31.3	NEUROD1	Yes	neuronal differentiation 1	601724	Maturity-onset diabetes of the young 6	Autosomal dominant	606394	chr2	181668295	181680517
chr2:188,974,373-189,012,746	2q32.2	COL3A1	Yes	collagen type III alpha 1 chain	120180	Ehlers-Danlos syndrome, vascular type	Autosomal dominant	130050	chr2	188974373	189012746
chr2:188,974,373-189,012,746	2q32.2	COL3A1	Yes	collagen type III alpha 1 chain	120180	Polymicrogyria with or without vascular-type EDS	Autosomal recessive	618343	chr2	188974373	189012746
chr2:189,031,898-189,441,111	2q32.2	COL5A2	Yes	collagen type V alpha 2 chain	120190	Ehlers-Danlos syndrome, classic type, 2	Autosomal dominant	130010	chr2	189031898	189441111
chr2:189,560,590-189,580,786	2q32.2	SLC40A1	Yes	solute carrier family 40 member 1	604653	Hemochromatosis, type 4	Autosomal dominant	606069	chr2	189560590	189580786
chr2:190,880,821-190,965,552	2q32.2	GLS	Yes	glutaminase	138280	?Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development	Autosomal dominant	618339	chr2	190880821	190965552
chr2:190,880,821-190,965,552	2q32.2	GLS	Yes	glutaminase	138280	Developmental and epileptic encephalopathy 71	Autosomal recessive	618328	chr2	190880821	190965552
chr2:190,880,821-190,965,552	2q32.2	GLS	Yes	glutaminase	138280	Global developmental delay, progressive ataxia, and elevated glutamine	Autosomal recessive	618412	chr2	190880821	190965552
chr2:190,969,149-191,014,171	2q32.2	STAT1	Yes	signal transducer and activator of transcription 1	600555	Immunodeficiency 31A, mycobacteriosis, autosomal dominant	Autosomal dominant	614892	chr2	190969149	191014171
chr2:190,969,149-191,014,171	2q32.2	STAT1	Yes	signal transducer and activator of transcription 1	600555	Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive	Autosomal recessive	613796	chr2	190969149	191014171
chr2:190,969,149-191,014,171	2q32.2	STAT1	Yes	signal transducer and activator of transcription 1	600555	Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant	Autosomal dominant	614162	chr2	190969149	191014171
chr2:191,029,576-191,151,596	2q32.2-q32.3	STAT4	Yes	signal transducer and activator of transcription 4	600558	{Systemic lupus erythematosus, susceptibility to, 11}	Autosomal dominant	612253	chr2	191029576	191151596
chr2:191,029,576-191,151,596	2q32.2-q32.3	STAT4	Yes	signal transducer and activator of transcription 4	600558	Disabling pansclerotic morphea of childhood	Autosomal dominant	620443	chr2	191029576	191151596
chr2:196,194,072-196,593,554	2q32.3	HECW2	Yes	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	617245	Neurodevelopmental disorder with hypotonia, seizures, and absent language	Autosomal dominant	617268	chr2	196194072	196593554
chr2:197,486,584-197,500,274	2q33.1	HSPD1	Yes	heat shock protein family D (Hsp60) member 1	118190	Leukodystrophy, hypomyelinating, 4	Autosomal recessive	612233	chr2	197486584	197500274
chr2:197,486,584-197,500,274	2q33.1	HSPD1	Yes	heat shock protein family D (Hsp60) member 1	118190	Spastic paraplegia 13, autosomal dominant	Autosomal dominant	605280	chr2	197486584	197500274
chr2:199,269,500-199,471,266	2q33.1	SATB2	Yes	SATB homeobox 2	608148	Glass syndrome	Autosomal dominant	612313	chr2	199269500	199471266
chr2:201,183,141-201,229,406	2q33.1	CASP10	Yes	caspase 10	601762	Autoimmune lymphoproliferative syndrome, type II	Autosomal dominant	603909	chr2	201183141	201229406
chr2:201,183,141-201,229,406	2q33.1	CASP10	Yes	caspase 10	601762	Gastric cancer, somatic	Autosomal dominant	613659	chr2	201183141	201229406
chr2:201,183,141-201,229,406	2q33.1	CASP10	Yes	caspase 10	601762	Lymphoma, non-Hodgkin, somatic	Autosomal dominant	605027	chr2	201183141	201229406
chr2:201,233,463-201,287,711	2q33.1	CASP8	Yes	caspase 8	601763	?Caspase 8 lymphadenopathy syndrome	Autosomal recessive	607271	chr2	201233463	201287711
chr2:201,233,463-201,287,711	2q33.1	CASP8	Yes	caspase 8	601763	{Breast cancer, protection against}	Autosomal dominant, Somatic mutation	114480	chr2	201233463	201287711
chr2:201,233,463-201,287,711	2q33.1	CASP8	Yes	caspase 8	601763	{Lung cancer, protection against}	Autosomal dominant, Somatic mutation	211980	chr2	201233463	201287711
chr2:201,233,463-201,287,711	2q33.1	CASP8	Yes	caspase 8	601763	Hepatocellular carcinoma, somatic	Autosomal dominant, Somatic mutation	114550	chr2	201233463	201287711
chr2:202,376,327-202,567,749	2q33.1-q33.2	BMPR2	Yes	bone morphogenetic protein receptor type 2	600799	Pulmonary hypertension, familial primary, 1, with or without HHT	Autosomal dominant	178600	chr2	202376327	202567749
chr2:202,376,327-202,567,749	2q33.1-q33.2	BMPR2	Yes	bone morphogenetic protein receptor type 2	600799	Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated	Autosomal dominant	178600	chr2	202376327	202567749
chr2:202,376,327-202,567,749	2q33.1-q33.2	BMPR2	Yes	bone morphogenetic protein receptor type 2	600799	Pulmonary venoocclusive disease 1	Autosomal dominant	265450	chr2	202376327	202567749
chr2:203,867,771-203,873,965	2q33.2	CTLA4	Yes	cytotoxic T-lymphocyte associated protein 4	123890	{Celiac disease, susceptibility to, 3}	Autosomal dominant	609755	chr2	203867771	203873965
chr2:203,867,771-203,873,965	2q33.2	CTLA4	Yes	cytotoxic T-lymphocyte associated protein 4	123890	{Diabetes mellitus, insulin-dependent, 12}	Autosomal dominant	601388	chr2	203867771	203873965
chr2:203,867,771-203,873,965	2q33.2	CTLA4	Yes	cytotoxic T-lymphocyte associated protein 4	123890	{Hashimoto thyroiditis}	Autosomal dominant	140300	chr2	203867771	203873965
chr2:203,867,771-203,873,965	2q33.2	CTLA4	Yes	cytotoxic T-lymphocyte associated protein 4	123890	{Systemic lupus erythematosus, susceptibility to}	Autosomal dominant	152700	chr2	203867771	203873965
chr2:203,867,771-203,873,965	2q33.2	CTLA4	Yes	cytotoxic T-lymphocyte associated protein 4	123890	Immune dysregulation with autoimmunity, immunodeficiency, and lymphoproliferation	Autosomal dominant	616100	chr2	203867771	203873965
chr2:207,762,598-207,769,906	2q33.3	FZD5	Yes	frizzled class receptor 5	601723	Microphthalmia/coloboma 11	Autosomal dominant	620731	chr2	207762598	207769906
chr2:208,121,607-208,124,524	2q33.3	CRYGD	Yes	crystallin gamma D	123690	Cataract 4, multiple types	Autosomal dominant	115700	chr2	208121607	208124524
chr2:208,128,137-208,129,828	2q33.3	CRYGC	Yes	crystallin gamma C	123680	Cataract 2, multiple types	Autosomal dominant	604307	chr2	208128137	208129828
chr2:208,142,573-208,146,158	2q33.3	CRYGB	Yes	crystallin gamma B	123670	Cataract 39, multiple types, autosomal dominant	Autosomal dominant	615188	chr2	208142573	208146158
chr2:208,200,001-230,100,000 (I)	2q34-q36	DUP2q35	Yes	Chromosome 2q35 duplication syndrome (syndactyly, type I)	185900	Craniosynostosis, Philadelphia type, with syndactyly	Autosomal dominant	185900	chr2	208200001	230100000 
chr2:208,200,001-230,100,000 (I)	2q34-q36	DUP2q35	Yes	Chromosome 2q35 duplication syndrome (syndactyly, type I)	185900	Syndactyly, type 1	Autosomal dominant	185900	chr2	208200001	230100000 
chr2:208,266,056-208,358,746	2q34	PIKFYVE	Yes	phosphoinositide kinase, FYVE-type zinc finger containing	609414	Corneal fleck dystrophy	Autosomal dominant	121850	chr2	208266056	208358746
chr2:211,375,717-212,538,802	2q34	ERBB4	Yes	erb-b2 receptor tyrosine kinase 4	600543	Amyotrophic lateral sclerosis 19	Autosomal dominant	615515	chr2	211375717	212538802
chr2:214,725,646-214,809,683	2q35	BARD1	Yes	BRCA1 associated RING domain 1	601593	{Breast cancer, susceptibility to}	Autosomal dominant, Somatic mutation	114480	chr2	214725646	214809683
chr2:215,360,865-215,436,068	2q35	FN1	Yes	fibronectin 1	135600	Glomerulopathy with fibronectin deposits 2	Autosomal dominant	601894	chr2	215360865	215436068
chr2:215,360,865-215,436,068	2q35	FN1	Yes	fibronectin 1	135600	Spondylometaphyseal dysplasia, corner fracture type	Autosomal dominant	184255	chr2	215360865	215436068
chr2:218,270,519-218,346,793	2q35	PNKD	Yes	PNKD metallo-beta-lactamase domain containing	609023	Paroxysmal nonkinesigenic dyskinesia 1	Autosomal dominant	118800	chr2	218270519	218346793
chr2:218,874,116-218,893,928 (I)	2q35	WNT10A	Yes	Wnt family member 10A	606268	Ectodermal dysplasia 16 (odontoonychodermal dysplasia)	Autosomal recessive	257980	chr2	218874116	218893928 
chr2:218,874,116-218,893,928 (I)	2q35	WNT10A	Yes	Wnt family member 10A	606268	Schopf-Schulz-Passarge syndrome	Autosomal recessive	224750	chr2	218874116	218893928 
chr2:218,874,116-218,893,928 (I)	2q35	WNT10A	Yes	Wnt family member 10A	606268	Tooth agenesis, selective, 4	Autosomal dominant, Autosomal recessive	150400	chr2	218874116	218893928 
chr2:218,990,190-218,993,422	2q35	CRYBA2	Yes	crystallin beta A2	600836	?Cataract 42	Autosomal dominant	115900	chr2	218990190	218993422
chr2:219,054,424-219,060,921	2q35	IHH	Yes	Indian hedgehog signaling molecule	600726	Acrocapitofemoral dysplasia	Autosomal recessive	607778	chr2	219054424	219060921
chr2:219,054,424-219,060,921	2q35	IHH	Yes	Indian hedgehog signaling molecule	600726	Brachydactyly, type A1	Autosomal dominant	112500	chr2	219054424	219060921
chr2:219,209,772-219,218,958	2q35	ABCB6	Yes	ATP binding cassette subfamily B member 6 (LAN blood group)	605452	[Blood group, Langereis system]	Autosomal dominant	111600	chr2	219209772	219218958
chr2:219,209,772-219,218,958	2q35	ABCB6	Yes	ATP binding cassette subfamily B member 6 (LAN blood group)	605452	Dyschromatosis universalis hereditaria 3	Autosomal dominant	615402	chr2	219209772	219218958
chr2:219,209,772-219,218,958	2q35	ABCB6	Yes	ATP binding cassette subfamily B member 6 (LAN blood group)	605452	Microphthalmia, isolated, with coloboma 7	Autosomal dominant	614497	chr2	219209772	219218958
chr2:219,209,772-219,218,958	2q35	ABCB6	Yes	ATP binding cassette subfamily B member 6 (LAN blood group)	605452	Pseudohyperkalemia, familial, 2, due to red cell leak	Autosomal dominant	609153	chr2	219209772	219218958
chr2:219,249,710-219,254,740	2q35	TUBA4A	Yes	tubulin alpha 4a	191110	Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia	Autosomal dominant	616208	chr2	219249710	219254740
chr2:219,418,377-219,426,734	2q35	DES	Yes	desmin	125660	Cardiomyopathy, dilated, 1I	Autosomal dominant	604765	chr2	219418377	219426734
chr2:219,418,377-219,426,734	2q35	DES	Yes	desmin	125660	Myopathy, myofibrillar, 1	Autosomal dominant, Autosomal recessive	601419	chr2	219418377	219426734
chr2:219,418,377-219,426,734	2q35	DES	Yes	desmin	125660	Scapuloperoneal syndrome, neurogenic, Kaeser type	Autosomal dominant	181400	chr2	219418377	219426734
chr2:219,627,630-219,641,971	2q35	SLC4A3	Yes	solute carrier family 4 member 3	106195	Short QT syndrome 7	Autosomal dominant	620231	chr2	219627630	219641971
chr2:222,199,887-222,298,998	2q36.1	PAX3	Yes	paired box 3	606597	Craniofacial-deafness-hand syndrome	Autosomal dominant	122880	chr2	222199887	222298998
chr2:222,199,887-222,298,998	2q36.1	PAX3	Yes	paired box 3	606597	Rhabdomyosarcoma 2, alveolar	Somatic mutation	268220	chr2	222199887	222298998
chr2:222,199,887-222,298,998	2q36.1	PAX3	Yes	paired box 3	606597	Waardenburg syndrome, type 1	Autosomal dominant	193500	chr2	222199887	222298998
chr2:222,199,887-222,298,998	2q36.1	PAX3	Yes	paired box 3	606597	Waardenburg syndrome, type 3	Autosomal dominant, Autosomal recessive	148820	chr2	222199887	222298998
chr2:223,755,326-223,837,582	2q36.1	AP1S3	Yes	adaptor related protein complex 1 subunit sigma 3	615781	{Psoriasis 15, pustular, susceptibility to}	Autosomal dominant	616106	chr2	223755326	223837582
chr2:224,470,150-224,585,363	2q36.2	CUL3	Yes	cullin 3	603136	Neurodevelopmental disorder with or without autism or seizures	Autosomal dominant	619239	chr2	224470150	224585363
chr2:224,470,150-224,585,363	2q36.2	CUL3	Yes	cullin 3	603136	Pseudohypoaldosteronism, type IIE	Autosomal dominant	614496	chr2	224470150	224585363
chr2:226,731,312-226,799,820	2q36.3	IRS1	Yes	insulin receptor substrate 1	147545	{Coronary artery disease, susceptibility to}	Autosomal dominant	614496	chr2	226731312	226799820
chr2:226,731,312-226,799,820	2q36.3	IRS1	Yes	insulin receptor substrate 1	147545	{Type 2 diabetes mellitus, susceptibility to}	Autosomal dominant	125853	chr2	226731312	226799820
chr2:226,967,360-227,164,488	2q36.3	COL4A4	Yes	collagen type IV alpha 4 chain	120131	Alport syndrome 2, autosomal recessive	Autosomal recessive	203780	chr2	226967360	227164488
chr2:226,967,360-227,164,488	2q36.3	COL4A4	Yes	collagen type IV alpha 4 chain	120131	Hematuria, familial benign, 1	Autosomal dominant	141200	chr2	226967360	227164488
chr2:227,164,624-227,314,792	2q36.3	COL4A3	Yes	collagen type IV alpha 3 chain	120070	Alport syndrome 3A, autosomal dominant	Autosomal dominant	104200	chr2	227164624	227314792
chr2:227,164,624-227,314,792	2q36.3	COL4A3	Yes	collagen type IV alpha 3 chain	120070	Alport syndrome 3B, autosomal recessive	Autosomal dominant	620536	chr2	227164624	227314792
chr2:227,164,624-227,314,792	2q36.3	COL4A3	Yes	collagen type IV alpha 3 chain	120070	Hematuria, benign familial, 2	Autosomal dominant	620320	chr2	227164624	227314792
chr2:227,362,038-227,381,647	2q36.3	TM4SF20	Yes	transmembrane 4 L six family member 20	615404	{Specific language impairment 5}	Autosomal dominant	615432	chr2	227362038	227381647
chr2:229,763,837-229,923,186	2q36.3	TRIP12	Yes	thyroid hormone receptor interactor 12	604506	Intellectual developmental disorder, autosomal dominant 49	Autosomal dominant	617752	chr2	229763837	229923186
chr2:230,100,001-242,193,529 (S) (I)	2q37	BDMR	Yes	Chromosome 2q37 deletion syndrome	600430	Chromosome 2q37 deletion syndrome	Autosomal dominant	600430	chr2	230100001	242193529  
chr2:232,526,160-232,536,664	2q37.1	CHRND	Yes	cholinergic receptor nicotinic delta subunit	100720	?Myasthenic syndrome, congenital, 3A, slow-channel	Autosomal dominant	616321	chr2	232526160	232536664
chr2:232,526,160-232,536,664	2q37.1	CHRND	Yes	cholinergic receptor nicotinic delta subunit	100720	?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency	Autosomal recessive	616323	chr2	232526160	232536664
chr2:232,526,160-232,536,664	2q37.1	CHRND	Yes	cholinergic receptor nicotinic delta subunit	100720	Multiple pterygium syndrome, lethal type	Autosomal recessive	253290	chr2	232526160	232536664
chr2:232,526,160-232,536,664	2q37.1	CHRND	Yes	cholinergic receptor nicotinic delta subunit	100720	Myasthenic syndrome, congenital, 3B, fast-channel	Autosomal recessive	616322	chr2	232526160	232536664
chr2:232,765,802-232,776,565	2q37.1	KCNJ13	Yes	potassium inwardly rectifying channel subfamily J member 13	603208	Leber congenital amaurosis 16	Autosomal recessive	614186	chr2	232765802	232776565
chr2:232,765,802-232,776,565	2q37.1	KCNJ13	Yes	potassium inwardly rectifying channel subfamily J member 13	603208	Snowflake vitreoretinal degeneration	Autosomal dominant	193230	chr2	232765802	232776565
chr2:233,307,816-233,347,055	2q37.1	SAG	Yes	S-antigen visual arrestin	181031	Oguchi disease-1	Autosomal recessive	258100	chr2	233307816	233347055
chr2:233,307,816-233,347,055	2q37.1	SAG	Yes	S-antigen visual arrestin	181031	Retinitis pigmentosa 47, autosomal recessive	Autosomal recessive	613758	chr2	233307816	233347055
chr2:233,307,816-233,347,055	2q37.1	SAG	Yes	S-antigen visual arrestin	181031	Retinitis pigmentosa 96, autosomal dominant	Autosomal dominant	620228	chr2	233307816	233347055
chr2:233,760,270-233,773,300	2q37.1	UGT1A1	Yes	UDP glucuronosyltransferase family 1 member A1	191740	[Bilirubin, serum level of, QTL1]	Autosomal dominant	601816	chr2	233760270	233773300
chr2:233,760,270-233,773,300	2q37.1	UGT1A1	Yes	UDP glucuronosyltransferase family 1 member A1	191740	[Gilbert syndrome]	Autosomal recessive	143500	chr2	233760270	233773300
chr2:233,760,270-233,773,300	2q37.1	UGT1A1	Yes	UDP glucuronosyltransferase family 1 member A1	191740	Crigler-Najjar syndrome, type I	Autosomal recessive	218800	chr2	233760270	233773300
chr2:233,760,270-233,773,300	2q37.1	UGT1A1	Yes	UDP glucuronosyltransferase family 1 member A1	191740	Crigler-Najjar syndrome, type II	Autosomal recessive	606785	chr2	233760270	233773300
chr2:233,760,270-233,773,300	2q37.1	UGT1A1	Yes	UDP glucuronosyltransferase family 1 member A1	191740	Hyperbilirubinemia, familial transient neonatal	Autosomal dominant, Autosomal recessive	237900	chr2	233760270	233773300
chr2:237,324,018-237,414,164	2q37.3	COL6A3	Yes	collagen type VI alpha 3 chain	120250	Bethlem myopathy 1C	Autosomal dominant	620726	chr2	237324018	237414164
chr2:237,324,018-237,414,164	2q37.3	COL6A3	Yes	collagen type VI alpha 3 chain	120250	Dystonia 27	Autosomal recessive	616411	chr2	237324018	237414164
chr2:237,324,018-237,414,164	2q37.3	COL6A3	Yes	collagen type VI alpha 3 chain	120250	Ullrich congenital muscular dystrophy 1C	Autosomal dominant, Autosomal recessive	620728	chr2	237324018	237414164
chr2:238,244,044-238,300,065	2q37.3	PER2	Yes	period circadian regulator 2	603426	?Advanced sleep phase syndrome, familial, 1	Autosomal dominant	604348	chr2	238244044	238300065
chr2:238,848,085-238,910,534	2q37.3	TWIST2	Yes	twist family bHLH transcription factor 2	607556	Ablepharon-macrostomia syndrome	Autosomal dominant	200110	chr2	238848085	238910534
chr2:238,848,085-238,910,534	2q37.3	TWIST2	Yes	twist family bHLH transcription factor 2	607556	Barber-Say syndrome	Autosomal dominant	209885	chr2	238848085	238910534
chr2:238,848,085-238,910,534	2q37.3	TWIST2	Yes	twist family bHLH transcription factor 2	607556	Focal facial dermal dysplasia 3, Setleis type	Autosomal recessive	227260	chr2	238848085	238910534
chr2:239,048,168-239,401,649	2q37.3	HDAC4	Yes	histone deacetylase 4	605314	Neurodevelopmental disorder with central hypotonia and dysmorphic facies	Autosomal dominant	619797	chr2	239048168	239401649
chr2:240,713,767-240,821,403	2q37.3	KIF1A	Yes	kinesin family member 1A	601255	NESCAV syndrome	Autosomal dominant	614255	chr2	240713767	240821403
chr2:240,713,767-240,821,403	2q37.3	KIF1A	Yes	kinesin family member 1A	601255	Neuropathy, hereditary sensory, type IIC	Autosomal recessive	614213	chr2	240713767	240821403
chr2:240,713,767-240,821,403	2q37.3	KIF1A	Yes	kinesin family member 1A	601255	Spastic paraplegia 30, autosomal dominant	Autosomal dominant, Autosomal recessive	610357	chr2	240713767	240821403
chr2:240,713,767-240,821,403	2q37.3	KIF1A	Yes	kinesin family member 1A	601255	Spastic paraplegia 30, autosomal recessive	Autosomal dominant, Autosomal recessive	610357	chr2	240713767	240821403
chr20:472,498-543,790	20p13	CSNK2A1	Yes	casein kinase 2 alpha 1	115440	Okur-Chung neurodevelopmental syndrome	Autosomal dominant	617062	chr20	472498	543790
chr20:1,978,756-1,994,285	20p13	PDYN	Yes	prodynorphin	131340	Spinocerebellar ataxia 23	Autosomal dominant	610245	chr20	1978756	1994285
chr20:2,380,901-2,432,753	20p13	TGM6	Yes	transglutaminase 6	613900	Spinocerebellar ataxia 35	Autosomal dominant	613908	chr20	2380901	2432753
chr20:2,461,642-2,470,789	20p13	SNRPB	Yes	small nuclear ribonucleoprotein polypeptides B and B1	182282	Cerebrocostomandibular syndrome	Autosomal dominant	117650	chr20	2461642	2470789
chr20:2,652,632-2,658,393	20p13	NOP56	Yes	NOP56 ribonucleoprotein	614154	Spinocerebellar ataxia 36	Autosomal dominant	614153	chr20	2652632	2658393
chr20:2,840,745-2,866,732	20p13	VPS16	Yes	VPS16 core subunit of CORVET and HOPS complexes	608550	Dystonia 30	Autosomal dominant	619291	chr20	2840745	2866732
chr20:3,082,556-3,084,724	20p13	AVP	Yes	arginine vasopressin	192340	Diabetes insipidus, neurohypophyseal	Autosomal dominant	125700	chr20	3082556	3084724
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	{Kuru, susceptibility to}	Autosomal dominant	245300	chr20	4686456	4701588
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	Cerebral amyloid angiopathy, PRNP-related	Autosomal dominant	137440	chr20	4686456	4701588
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	Creutzfeldt-Jakob disease	Autosomal dominant	123400	chr20	4686456	4701588
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	Gerstmann-Straussler disease	Autosomal dominant	137440	chr20	4686456	4701588
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	Huntington disease-like 1	Autosomal dominant	603218	chr20	4686456	4701588
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	Insomnia, fatal familial	Autosomal dominant	600072	chr20	4686456	4701588
chr20:4,686,456-4,701,588	20p13	PRNP	Yes	prion protein (Kanno blood group)	176640	Spongiform encephalopathy with neuropsychiatric features	Autosomal dominant	606688	chr20	4686456	4701588
chr20:5,299,218-5,316,954	20p12.3	PROKR2	Yes	prokineticin receptor 2	607123	Hypogonadotropic hypogonadism 3 with or without anosmia	Autosomal dominant	244200	chr20	5299218	5316954
chr20:6,767,686-6,780,246	20p12.3	BMP2	Yes	bone morphogenetic protein 2	112261	{HFE hemochromatosis, modifier of}	Autosomal recessive	235200	chr20	6767686	6780246
chr20:6,767,686-6,780,246	20p12.3	BMP2	Yes	bone morphogenetic protein 2	112261	Brachydactyly, type A2	Autosomal dominant	112600	chr20	6767686	6780246
chr20:6,767,686-6,780,246	20p12.3	BMP2	Yes	bone morphogenetic protein 2	112261	Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 1	Autosomal dominant	617877	chr20	6767686	6780246
chr20:9,068,678-9,480,808	20p12.3-p12.2	PLCB4	Yes	phospholipase C beta 4	600810	Auriculocondylar syndrome 2A	Autosomal dominant	614669	chr20	9068678	9480808
chr20:9,068,678-9,480,808	20p12.3-p12.2	PLCB4	Yes	phospholipase C beta 4	600810	Auriculocondylar syndrome 2B	Autosomal recessive	620458	chr20	9068678	9480808
chr20:10,218,830-10,307,418	20p12.2	SNAP25	Yes	synaptosome associated protein 25	600322	?Myasthenic syndrome, congenital, 18	Autosomal dominant	616330	chr20	10218830	10307418
chr20:10,637,684-10,673,999	20p12.2	JAG1	Yes	jagged canonical Notch ligand 1	601920	?Deafness, congenital heart defects, and posterior embryotoxon	Autosomal dominant	617992	chr20	10637684	10673999
chr20:10,637,684-10,673,999	20p12.2	JAG1	Yes	jagged canonical Notch ligand 1	601920	Alagille syndrome 1	Autosomal dominant	118450	chr20	10637684	10673999
chr20:10,637,684-10,673,999	20p12.2	JAG1	Yes	jagged canonical Notch ligand 1	601920	Charcot-Marie-Tooth disease, axonal, type 2HH	Autosomal dominant	619574	chr20	10637684	10673999
chr20:10,637,684-10,673,999	20p12.2	JAG1	Yes	jagged canonical Notch ligand 1	601920	Tetralogy of Fallot	Autosomal dominant	187500	chr20	10637684	10673999
chr20:14,322,985-14,337,612	20p12.1	FLRT3	Yes	fibronectin leucine rich transmembrane protein 3	604808	Hypogonadotropic hypogonadism 21 with anosmia	Autosomal dominant	615271	chr20	14322985	14337612
chr20:17,493,905-17,569,220	20p12.1	BFSP1	Yes	beaded filament structural protein 1	603307	Cataract 33, multiple types	Autosomal dominant, Autosomal recessive	611391	chr20	17493905	17569220
chr20:18,024,152-18,059,188	20p11.23	OVOL2	Yes	ovo like zinc finger 2	616441	Corneal dystrophy, posterior polymorphous, 1	Autosomal dominant	122000	chr20	18024152	18059188
chr20:18,467,390-18,484,646	20p11.23	POLR3F	Yes	RNA polymerase III subunit F	617455	?Immunodeficiency 101 (varicella zoster virus-specific)	Autosomal dominant	619872	chr20	18467390	18484646
chr20:18,507,548-18,561,415	20p11.23	SEC23B	Yes	SEC23 homolog B, COPII coat complex component	610512	?Cowden syndrome 7	Autosomal dominant	616858	chr20	18507548	18561415
chr20:18,507,548-18,561,415	20p11.23	SEC23B	Yes	SEC23 homolog B, COPII coat complex component	610512	Dyserythropoietic anemia, congenital, type II	Autosomal recessive	224100	chr20	18507548	18561415
chr20:23,045,633-23,049,672	20p11.21	THBD	Yes	thrombomodulin	188040	{Hemolytic uremic syndrome, atypical, susceptibility to, 6}	Autosomal dominant	612926	chr20	23045633	23049672
chr20:23,045,633-23,049,672	20p11.21	THBD	Yes	thrombomodulin	188040	Thrombophilia 12 due to thrombomodulin defect	Autosomal dominant	614486	chr20	23045633	23049672
chr20:23,626,706-23,637,955	20p11.21	CST3	Yes	cystatin C	604312	{Macular degeneration, age-related, 11}	Autosomal dominant	611953	chr20	23626706	23637955
chr20:23,626,706-23,637,955	20p11.21	CST3	Yes	cystatin C	604312	Cerebral amyloid angiopathy	Autosomal dominant	105150	chr20	23626706	23637955
chr20:25,070,880-25,082,141	20p11.21	VSX1	Yes	visual system homeobox 1	605020	?Craniofacial anomalies and anterior segment dysgenesis syndrome	Autosomal dominant	614195	chr20	25070880	25082141
chr20:25,070,880-25,082,141	20p11.21	VSX1	Yes	visual system homeobox 1	605020	Keratoconus 1	Autosomal dominant	148300	chr20	25070880	25082141
chr20:28,100,001-39,000,000 (I)	20q11	OBHP	Yes	Obesity and hypopigmentation	620195	Obesity and hypopigmentation	Autosomal dominant	620195	chr20	28100001	39000000 
chr20:31,819,356-31,834,684	20q11.21	MYLK2	Yes	myosin light chain kinase 2	606566	Cardiomyopathy, hypertrophic, 1, digenic	Autosomal dominant, Digenic dominant	192600	chr20	31819356	31834684
chr20:32,052,242-32,101,856	20q11.21	HCK	Yes	HCK proto-oncogene, Src family tyrosine kinase	142370	Autoinflammation with pulmonary and cutaneous vasculitis	Autosomal dominant	620296	chr20	32052242	32101856
chr20:32,207,880-32,238,658	20q11.21	POFUT1	Yes	protein O-fucosyltransferase 1	607491	Dowling-Degos disease 2	Autosomal dominant	615327	chr20	32207880	32238658
chr20:32,277,651-32,335,011	20q11.21	KIF3B	Yes	kinesin family member 3B	603754	Retinitis pigmentosa 89	Autosomal dominant	618955	chr20	32277651	32335011
chr20:32,358,331-32,439,319	20q11.21	ASXL1	Yes	ASXL transcriptional regulator 1	612990	Bohring-Opitz syndrome	Autosomal dominant	605039	chr20	32358331	32439319
chr20:32,358,331-32,439,319	20q11.21	ASXL1	Yes	ASXL transcriptional regulator 1	612990	Myelodysplastic syndrome, somatic	Autosomal dominant	614286	chr20	32358331	32439319
chr20:32,762,385-32,809,356	20q11.21	DNMT3B	Yes	DNA methyltransferase 3 beta	602900	Facioscapulohumeral muscular dystrophy 4, digenic	Digenic dominant	619478	chr20	32762385	32809356
chr20:32,762,385-32,809,356	20q11.21	DNMT3B	Yes	DNA methyltransferase 3 beta	602900	Immunodeficiency-centromeric instability-facial anomalies syndrome 1	Autosomal recessive	242860	chr20	32762385	32809356
chr20:33,407,957-33,443,763	20q11.21	SNTA1	Yes	syntrophin alpha 1	601017	Long QT syndrome 12	Autosomal dominant	612955	chr20	33407957	33443763
